	Unnamed: 0	Unnamed: 0.1	best_epoch	best_validation_accuracy	best_validation_loss	dataset_reader.lazy	dataset_reader.sample	dataset_reader.token_indexers.tokens.lowercase_tokens	dataset_reader.token_indexers.tokens.type	dataset_reader.tokenizer.word_splitter	dataset_reader.type	epoch	evaluate_on_test	iterator.batch_size	iterator.type	model.dropout	model.encoder.architecture.embedding_dim	model.encoder.architecture.ngram_filter_sizes	model.encoder.architecture.num_filters	model.encoder.architecture.output_dim	model.encoder.architecture.type	model.encoder.type	model.input_embedder.token_embedders.tokens.embedding_dim	model.input_embedder.token_embedders.tokens.pretrained_file	model.input_embedder.token_embedders.tokens.trainable	model.type	peak_cpu_memory_MB	peak_gpu_0_memory_MB	peak_gpu_1_memory_MB	peak_gpu_2_memory_MB	peak_gpu_3_memory_MB	test_data_path	train_data_path	trainer.cuda_device	trainer.learning_rate_scheduler.factor	trainer.learning_rate_scheduler.patience	trainer.learning_rate_scheduler.type	trainer.num_epochs	trainer.num_serialized_models_to_keep	trainer.optimizer.lr	trainer.optimizer.type	trainer.patience	trainer.validation_metric	training_accuracy	training_cpu_memory_MB	training_duration	training_epochs	training_gpu_0_memory_MB	training_gpu_1_memory_MB	training_gpu_2_memory_MB	training_gpu_3_memory_MB	training_loss	training_start_epoch	validation_accuracy	validation_data_path	validation_dataset_reader.lazy	validation_dataset_reader.sample	validation_dataset_reader.token_indexers.tokens.lowercase_tokens	validation_dataset_reader.token_indexers.tokens.type	validation_dataset_reader.tokenizer.word_splitter	validation_dataset_reader.type	validation_loss	embedding
0	0	0	1	0.4014532243415077	1.3407928612497118	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	10	False	64	basic	0.4	50	[1, 2, 3]	139	400	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2503.116	0	0	679	657		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0013080962177321265	adam	10	+accuracy	0.9934456928838952	2503.116	31.000000000000004	10	0	0	675	657	0.05030585831003403	0	0.3832879200726612	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	3.1509756777021622	glove
1	1	1	8	0.259763851044505	1426.9722756279841	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	17	False	64	basic	0.4	50	[1, 2, 3]	270	360	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2489.092	0	0	803	675		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.09412739394885243	adam	10	+accuracy	0.29307116104868913	2489.088	49.0	17	0	0	685	675	4.705487592896419	0	0.2561307901907357	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	1826.1658757527664	glove
2	2	2	2	0.23524069028156225	2908.286332872179	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	11	False	64	basic	0.2	50	[1, 2, 3, 4, 5]	258	463	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2523.184	0	0	679	655		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.07865456606735988	adam	10	+accuracy	0.2810159176029963	2523.184	33.0	11	0	0	679	593	10.604606615073646	0	0.2161671207992734	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	6696.493391248915	glove
3	3	3	7	0.2724795640326976	221.6512307061089	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	16	False	64	basic	0.3	50	[1, 2, 3, 4, 5]	266	338	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2492.724	0	0	695	687		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.058282520582240274	adam	10	+accuracy	0.3205758426966292	2492.708	53.0	16	0	0	695	687	1.6704369747816628	0	0.21707538601271573	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	250.59203847249356	glove
4	4	4	3	0.40508628519527706	1.438410222530365	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	12	False	64	basic	0.4	50	[1, 2, 3, 4]	332	137	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2491.22	0	0	3358	687		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.0008231545260669222	adam	10	+accuracy	0.9932116104868914	2491.216	39.0	12	0	0	2673	687	0.07558044463173667	0	0.39146230699364215	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2.2178854478730097	glove
5	5	5	9	0.26430517711171664	27.130379332436448	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	18	False	64	basic	0.3	50	[1, 2, 3]	208	304	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2499.624	0	0	685	675		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.038007465218103824	adam	10	+accuracy	0.32607677902621723	2499.564	52.0	18	0	0	685	593	1.4465437922904745	0	0.2515894641235241	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	26.793516212039524	glove
6	6	6	10	0.2670299727520436	513.9579317702187	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	19	False	64	basic	0.3	50	[1, 2, 3]	121	184	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2492.032	0	0	3392	653		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.05778816766882735	adam	10	+accuracy	0.2970505617977528	2492.032	56.0	19	0	0	3392	653	1.6077752353540111	0	0.2561307901907357	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	513.972552465068	glove
7	7	7	21	0.2652134423251589	371.0629348754883	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	30	False	64	basic	0.4	50	[1, 2, 3, 4]	329	507	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2501.256	0	0	833	769		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.06519089461015855	adam	10	+accuracy	0.3298220973782772	2501.252	87.0	30	0	0	833	769	1.4893154395160393	0	0.2461398728428701	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	371.49103800455737	glove
8	8	8	8	0.2633969118982743	114.00768791304694	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	17	False	64	basic	0.0	50	[1, 2, 3]	118	217	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2491.88	0	0	745	645		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.08862033493237875	adam	10	+accuracy	0.29096441947565543	2491.876	50.0	17	0	0	745	645	1.5189298026597322	0	0.2615803814713896	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	101.68252854214774	glove
9	9	9	6	0.2706630336058129	1404.5254039631948	False	8544	True	single_id	just_spaces	semisupervised_text_classification_json	15	False	64	basic	0.1	50	[1, 2, 3, 4]	123	378	cnn	seq2vec	50	https://s3-us-west-2.amazonaws.com/allennlp/datasets/glove/glove.6B.50d.txt.gz	True	classifier	2491.8920000000007	0	0	647	681		s3://suching-dev/final-datasets/sst/train_pretokenized.jsonl	0	0.5	2	reduce_on_plateau	50	1	0.08448000841432815	adam	10	+accuracy	0.2725889513108614	2491.8920000000007	45.0	15	0	0	647	10	1.7871329455233331	0	0.262488646684832	s3://suching-dev/final-datasets/sst/dev_pretokenized.jsonl	False		True	single_id	just_spaces	semisupervised_text_classification_json	2319.0090561707816	glove
